"MOD_NAME","EAC_FRIENDLY","SERVER_SIDE","CLIENT_REQUIRED","SAFE_TO_INSTALL","SAFE_TO_REMOVE","UNIQUE","QUOTE_FILE"
"AGF-BackpackPlus-060Slots","Yes","Yes","No","SAFE","DANGEROUS","You may upgrade to the others.","AGF-BackpackPlus-060Slots.txt"
"AGF-BackpackPlus-072Slots","Yes","Yes","No","SAFE","DANGEROUS","You may swap with 84 or 119.","AGF-BackpackPlus-072Slots.txt"
"AGF-BackpackPlus-084Slots","Yes","Yes","No","SAFE","DANGEROUS","You may swap with 72 or 119.","AGF-BackpackPlus-084Slots.txt"
"AGF-BackpackPlus-119Slots","Yes","Yes","No","SAFE","DANGEROUS","You may swap with 84 or 72.","AGF-BackpackPlus-119Slots.txt"
"AGF-HUDPlus-1Main","Yes","Yes","No","SAFE","SAFE","None","AGF-HUDPlus-1Main.txt"
"AGF-HUDPlus-BMCounter","Yes","Yes","No","SAFE","SAFE","None","AGF-HUDPlus-BMCounter.txt"
"AGF-HUDPlus-HealthBars","Yes","Yes","No","SAFE","SAFE","None","AGF-HUDPlus-HealthBars.txt"
"AGF-HUDPlus-PurpleBook","Yes","Yes","No","SAFE","SAFE","None","AGF-HUDPlus-PurpleBook.txt"
"AGF-HUDPlus-RemoveEnteringPopUp","Yes","Yes","No","SAFE","SAFE","None","AGF-HUDPlus-RemoveEnteringPopUp.txt"
"AGF-HUDPluszOther-10IngredientSlots","Yes","Yes","No","SAFE","SAFE","None","AGF-HUDPluszOther-10IngredientSlots.txt"
"AGF-HUDPluszOther-RemoveWrittentormAlerts","Yes","Yes","No","SAFE","SAFE","None","AGF-HUDPluszOther-RemoveWrittentormAlerts.txt"
"AGF-HUDPluszOther-SmallerInteractionPrompt","Yes","Yes","No","SAFE","SAFE","None","AGF-HUDPluszOther-SmallerInteractionPrompt.txt"
"AGF-HUDPluszOther-TinyBuffsPopUp","Yes","Yes","No","SAFE","SAFE","None","AGF-HUDPluszOther-TinyBuffsPopUp.txt"
"AGF-HUDPluszOther-Weekday","Yes","Yes","No","SAFE","SAFE","None","AGF-HUDPluszOther-Weekday.txt"
"AGF-NoEAC-ConfigureWindowEnteringDuration","MISSINGDATA","MISSINGDATA","MISSINGDATA","MISSINGDATA","MISSINGDATA","MISSINGDATA","AGF-NoEAC-ConfigureWindowEnteringDuration.txt"
